name,rating_number,downloads,rating,category
2 Player Reactor (Multiplayer),"76,490"," 10,000,000 - 50,000,000 ",4.4,Family
Kingdom Tactics,"7,974"," 100,000 - 500,000 ",3.9,Strategy
Alarm Clock,"58,545"," 1,000,000 - 5,000,000 ",4.5,Tools
Anger of Stick 3,"49,956"," 1,000,000 - 5,000,000 ",4.2,Action
Annoying Orange: Carnage Free,"8,748"," 500,000 - 1,000,000 ",4.3,Arcade
Aptoide Apps Browser,"39,881"," 1,000,000 - 5,000,000 ",3.9,Social
Atrium for Facebook,"9,287"," 100,000 - 500,000 ",4.1,Social
BabyBump Pregnancy Free,"26,489"," 1,000,000 - 5,000,000 ",4.6,Health & Fitness
Badminton Smash 3D,"22,985"," 500,000 - 1,000,000 ",4.3,Sports
Battery Doctor(Battery Saver),"1,198,830"," 10,000,000 - 50,000,000 ",4.5,Productivity
Flashlight HD LED,"329,130"," 10,000,000 - 50,000,000 ",4.4,Tools
BoyAhoy - Gay Chat,"20,160"," 1,000,000 - 5,000,000 ",4.0,Social
Manga Box: Manga App,"16,635"," 1,000,000 - 5,000,000 ",4.0,Comics
Calorie Counter - MyFitnessPal,"582,018"," 10,000,000 - 50,000,000 ",4.7,Health & Fitness
Camfrog Video Chat,"46,820"," 1,000,000 - 5,000,000 ",4.1,Social
Candy & Jewels,541," 100,000 - 500,000 ",4.1,Puzzle
Cars And Guns 3D FREE,"25,794"," 1,000,000 - 5,000,000 ",4.6,Racing
Chess.com Classic,"1,038"," 10,000 - 50,000 ",4.3,Puzzle
Daily Workouts FREE,"16,850"," 1,000,000 - 5,000,000 ",4.1,Health & Fitness
Daily Bible Devotion,"5,900"," 500,000 - 1,000,000 ",4.5,Books & Reference
Video Downloader - Video DL,"37,196"," 1,000,000 - 5,000,000 ",3.8,Media & Video
Draw Something Free,"760,532"," 10,000,000 - 50,000,000 ",4.2,Puzzle
Dream League Soccer,"211,892"," 1,000,000 - 5,000,000 ",4.4,Sports
Fashion House,"5,672"," 100,000 - 500,000 ",3.4,Casual
Flipps (Formerly iMediaShare),"46,199"," 1,000,000 - 5,000,000 ",4.2,Media & Video
Flurv Chat,536," 50,000 - 100,000 ",4.1,Lifestyle
FML Official,"24,553"," 1,000,000 - 5,000,000 ",4.2,Entertainment
Banner,90," 10,000 - 50,000 ",3.8,Entertainment
English Dictionary - Offline,"79,057"," 5,000,000 - 10,000,000 ",4.4,Books & Reference
Fruit Blitz,"2,204"," 100,000 - 500,000 ",3.8,Family
Funny Jokes,"64,665"," 10,000,000 - 50,000,000 ",4.3,Entertainment
Funny Sound Effects Ringtones,"9,118"," 1,000,000 - 5,000,000 ",4.2,Personalisation
Ngọc Rồng Game3,"1,777"," 50,000 - 100,000 ",4.2,Action
Ghost Detector,"10,101"," 1,000,000 - 5,000,000 ",3.6,Entertainment
Gravity Guy FREE,"91,161"," 5,000,000 - 10,000,000 ",4.2,Arcade
Gtalk Notifier,"1,272"," 100,000 - 500,000 ",3.9,Communication
Guess The Emoji - Emoji Pops,"56,427"," 1,000,000 - 5,000,000 ",4.1,Trivia
I'm Awesome - Free,5," 500 - 1,000 ",3.6,Entertainment
IM+,"80,423"," 1,000,000 - 5,000,000 ",4.2,Communication
Indonesia News,"1,982"," 100,000 - 500,000 ",4.4,News & Magazines
9GAG First,"9,193"," 100,000 - 500,000 ",4.5,Entertainment
InstaSize,"77,691"," 5,000,000 - 10,000,000 ",4.1,Photography
Jango Radio,"65,135"," 1,000,000 - 5,000,000 ",4.5,Music & Audio
Plants War,"63,215"," 1,000,000 - 5,000,000 ",4.6,Arcade
Kingdom Coins - Dozer of Coin,"2,397"," 100,000 - 500,000 ",4.2,Card
Time Out New York,150," 50,000 - 100,000 ",3.0,Travel & Local
Kpop Quiz (K-pop Game),"1,436"," 100,000 - 500,000 ",4.3,Puzzle
4 Pics 1 Song,"57,122"," 5,000,000 - 10,000,000 ",4.3,Puzzle
Listen on Repeat for Youtube,"7,719"," 1,000,000 - 5,000,000 ",3.9,Media & Video
Malaysia News,660," 100,000 - 500,000 ",4.2,News & Magazines
Manga Searcher | Manga Reader,"44,015"," 1,000,000 - 5,000,000 ",4.5,Comics
Fanatical American Football,"133,892"," 5,000,000 - 10,000,000 ",4.2,Sports
Mini Golf MatchUp™,"176,863"," 1,000,000 - 5,000,000 ",4.5,Arcade
Mobario Multi-Tasking Widget,377," 10,000 - 50,000 ",4.0,Personalisation
Stickman Downhill,"97,453"," 5,000,000 - 10,000,000 ",4.3,Racing
MoviePop,"34,421"," 1,000,000 - 5,000,000 ",4.4,Trivia
Music Tube,"1,246"," 100,000 - 500,000 ",3.5,Media & Video
Office Documents Viewer (Free),"8,102"," 1,000,000 - 5,000,000 ",3.9,Business
Palringo Group Messenger,"48,881"," 1,000,000 - 5,000,000 ",4.1,Communication
Paltalk Video Chat Free,"22,766"," 1,000,000 - 5,000,000 ",4.1,Social
Paper Cars BETA,"3,645"," 500,000 - 1,000,000 ",3.9,Racing
Parking Frenzy 2.0,"26,623"," 5,000,000 - 10,000,000 ",4.0,Racing
VMS - Video Messenger,"4,222"," 1,000,000 - 5,000,000 ",4.3,Communication
Pocket Manga - Manga Reader,"25,994"," 500,000 - 1,000,000 ",4.4,Comics
Google+,"982,594"," 500,000,000 - 1,000,000,000 ",4.1,Social
Raging Thunder - FREE,"130,683"," 10,000,000 - 50,000,000 ",4.1,Racing
Rail Rush,"270,866"," 10,000,000 - 50,000,000 ",4.2,Arcade
Score! World Goals,"240,698"," 1,000,000 - 5,000,000 ",4.4,Sports
Shape'd,"11,670"," 1,000,000 - 5,000,000 ",4.1,Photography
"Skout - Meet, Chat, Friend","281,154"," 10,000,000 - 50,000,000 ",4.2,Social
Skype WiFi,"40,358"," 5,000,000 - 10,000,000 ",4.0,Travel & Local
Solitaire,"650,181"," 50,000,000 - 100,000,000 ",4.4,Card
SongPop,"314,600"," 10,000,000 - 50,000,000 ",4.6,Music
Star Defender 4 (Free),867," 50,000 - 100,000 ",4.1,Casual
Star Girl: Moda Italia,"42,972"," 1,000,000 - 5,000,000 ",4.3,Card
Stupid Zombies,"92,189"," 10,000,000 - 50,000,000 ",4.3,Arcade
Sudoku Free,"250,484"," 10,000,000 - 50,000,000 ",4.5,Puzzle
"Hi VOG-Secret random chat,date",57," 500 - 1,000 ",4.8,Social
textPlus Free Text + Calls,"204,673"," 10,000,000 - 50,000,000 ",4.2,Social
Thai News (ข่าว/หนังสือพิมพ์),"1,802"," 100,000 - 500,000 ",4.2,News & Magazines
The Moron Test: Old School,"42,697"," 10,000,000 - 50,000,000 ",4.2,Puzzle
HEIST The Score,444," 10,000 - 50,000 ",3.7,Action
The Voice: On Stage,"28,125"," 1,000,000 - 5,000,000 ",3.9,Music & Audio
Thumb,"16,243"," 500,000 - 1,000,000 ",4.2,Social
Troll Face Photo Booth,"5,172"," 100,000 - 500,000 ",4.2,Photography
Truecaller - Caller ID & Block,"549,493"," 10,000,000 - 50,000,000 ",4.3,Communication
Truecaller - Caller ID & Block,"549,493"," 10,000,000 - 50,000,000 ",4.3,Communication
Ultimate Mouse Lite,"2,172"," 100,000 - 500,000 ",4.1,Tools
Video Tube (YouTube Player),"21,986"," 1,000,000 - 5,000,000 ",4.1,Media & Video
Virtual Pet Care,"31,230"," 1,000,000 - 5,000,000 ",3.5,Casual
Weather & Clock Widget,"530,065"," 10,000,000 - 50,000,000 ",4.4,Weather
Wikipedia,"116,123"," 10,000,000 - 50,000,000 ",4.3,Books & Reference
Wings of Glory 2014,"4,820"," 100,000 - 500,000 ",4.0,Arcade
Wordly - the Word Game,"21,847"," 500,000 - 1,000,000 ",4.4,Puzzle
Zombie Run HD,"33,392"," 1,000,000 - 5,000,000 ",4.0,Arcade
